Date,League,HomeTeam,AwayTeam,jugador,equipo,minutos,partidos,fixture_id
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Timo Horn,VFL BOCHUM,93,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Oliver Olsen,VFL BOCHUM,93,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Michael Steinwender,VFL BOCHUM,93,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Yiğit Karademir,VFL BOCHUM,45,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Maximilian Wittek,VFL BOCHUM,93,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Jean-Manuel Mbom,VFL BOCHUM,45,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Enis Çokaj,VFL BOCHUM,86,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Koji Miyoshi,VFL BOCHUM,76,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Berkan Taz,VFL BOCHUM,93,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Alessandro Crimaldi,VFL BOCHUM,61,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Philipp Hofmann,VFL BOCHUM,93,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Karol Mets,VFL BOCHUM,48,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Mats Pannewig,VFL BOCHUM,48,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Gerrit Holtmann,VFL BOCHUM,32,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Christian Rasmussen,VFL BOCHUM,17,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Daniel Hanslik,VFL BOCHUM,7,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Hugo Rolleke,VFL BOCHUM,0,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Kacper Kościerski,VFL BOCHUM,0,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Tom Meyer,VFL BOCHUM,0,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Charalampos Drakas,VFL BOCHUM,0,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Marius Gersbeck,HERTHA BSC,93,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Julian Eitschberger,HERTHA BSC,86,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Linus Gechter,HERTHA BSC,93,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Niklas Kolbe,HERTHA BSC,93,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Deyovaisio Zeefuik,HERTHA BSC,93,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Kevin Sessa,HERTHA BSC,93,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Paul Seguin,HERTHA BSC,86,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Marten Winkler,HERTHA BSC,93,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Soufian Gouram,HERTHA BSC,63,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Josip Brekalo,HERTHA BSC,86,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Sebastian Grønning,HERTHA BSC,63,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Jan Luca Schuler,HERTHA BSC,30,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Jón Dagur Þórsteinsson,HERTHA BSC,30,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Márton Dárdai,HERTHA BSC,7,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Pascal Klemens,HERTHA BSC,7,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Oluwaseun Adewumi,HERTHA BSC,7,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Tim Goller,HERTHA BSC,0,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Jerome Diallo,HERTHA BSC,0,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Boris Mamuzah Lum,HERTHA BSC,0,1,1576134
07/08/2026,2. Bundesliga,VFL BOCHUM,HERTHA BSC,Selim Telib,HERTHA BSC,0,1,1576134
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Dominik Reimann,1. FC MAGDEBURG,90,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Herbert Bockhorn,1. FC MAGDEBURG,31,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Paul Jaeckel,1. FC MAGDEBURG,66,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Anselmo Garcia McNulty,1. FC MAGDEBURG,90,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Alexander Nollenberger,1. FC MAGDEBURG,90,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Moritz Kwarteng,1. FC MAGDEBURG,45,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Luka Hyryläinen,1. FC MAGDEBURG,90,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Falko Michel,1. FC MAGDEBURG,66,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Emmanuel Iyoha,1. FC MAGDEBURG,81,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Mateusz Żukowski,1. FC MAGDEBURG,81,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Barış Atik,1. FC MAGDEBURG,90,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Pierre Nadjombe,1. FC MAGDEBURG,45,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Tobias Müller,1. FC MAGDEBURG,24,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Leon Mergner,1. FC MAGDEBURG,24,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Richmond Tachie,1. FC MAGDEBURG,9,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Magnus Baars,1. FC MAGDEBURG,9,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Noah Kruth,1. FC MAGDEBURG,0,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Eldin Džogović,1. FC MAGDEBURG,0,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Tony Reitz,1. FC MAGDEBURG,0,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Kevin Manthey,1. FC MAGDEBURG,0,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Ron Thorben Hoffmann,EINTRACHT BRAUNSCHWEIG,90,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Mehmet Aydın,EINTRACHT BRAUNSCHWEIG,90,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Kevin Ehlers,EINTRACHT BRAUNSCHWEIG,90,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Lukas Frenkert,EINTRACHT BRAUNSCHWEIG,90,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Fabio Di Michele Sanchez,EINTRACHT BRAUNSCHWEIG,78,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Aaron Opoku,EINTRACHT BRAUNSCHWEIG,78,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Samuele Di Benedetto,EINTRACHT BRAUNSCHWEIG,65,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Florian Flick,EINTRACHT BRAUNSCHWEIG,87,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Max Marie,EINTRACHT BRAUNSCHWEIG,90,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Jan Urbich,EINTRACHT BRAUNSCHWEIG,90,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Yann Sturm,EINTRACHT BRAUNSCHWEIG,65,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Johan Gomez,EINTRACHT BRAUNSCHWEIG,25,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Junior Zé,EINTRACHT BRAUNSCHWEIG,25,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Noah Katterbach,EINTRACHT BRAUNSCHWEIG,12,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Sidi Sané,EINTRACHT BRAUNSCHWEIG,12,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Tristan Wagner,EINTRACHT BRAUNSCHWEIG,9,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Benjamin Uphoff,EINTRACHT BRAUNSCHWEIG,0,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Louis Breunig,EINTRACHT BRAUNSCHWEIG,0,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Jovan Mijatović,EINTRACHT BRAUNSCHWEIG,0,1,1576139
08/08/2026,2. Bundesliga,1. FC MAGDEBURG,EINTRACHT BRAUNSCHWEIG,Maximilian Entrup,EINTRACHT BRAUNSCHWEIG,0,1,1576139
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Frank Feller,1. FC HEIDENHEIM,97,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Oualid Mhamdi,1. FC HEIDENHEIM,59,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Patrick Mainka,1. FC HEIDENHEIM,97,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Tim Siersleben,1. FC HEIDENHEIM,97,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Jonas Föhrenbach,1. FC HEIDENHEIM,97,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Marcel Costly,1. FC HEIDENHEIM,97,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Adrian Beck,1. FC HEIDENHEIM,88,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Jan Schöppner,1. FC HEIDENHEIM,97,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Mathias Honsak,1. FC HEIDENHEIM,59,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Budu Zivzivadze,1. FC HEIDENHEIM,88,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Marvin Pieringer,1. FC HEIDENHEIM,97,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Marnon Busch,1. FC HEIDENHEIM,38,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Christian Conteh,1. FC HEIDENHEIM,7,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Luca Kerber,1. FC HEIDENHEIM,31,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Paul Hennrich,1. FC HEIDENHEIM,9,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Maximilian Breunig,1. FC HEIDENHEIM,9,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Thomas Dähne,1. FC HEIDENHEIM,0,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Benedikt Gimber,1. FC HEIDENHEIM,0,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Marko Zrilić,1. FC HEIDENHEIM,0,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Julian Niehues,1. FC HEIDENHEIM,0,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Jonas Krumrey,VFL OSNABRÜCK,97,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Robin Fabinski,VFL OSNABRÜCK,97,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Jannik Müller,VFL OSNABRÜCK,97,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Niklas Wiemann,VFL OSNABRÜCK,97,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Konrad Faber,VFL OSNABRÜCK,69,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Fridolin Wagner,VFL OSNABRÜCK,80,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Bjarke Jacobsen,VFL OSNABRÜCK,97,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Patrick Kammerbauer,VFL OSNABRÜCK,89,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,David Kopacz,VFL OSNABRÜCK,80,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Ismail Badjie,VFL OSNABRÜCK,80,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Robin Meißner,VFL OSNABRÜCK,97,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Tony Lesueur,VFL OSNABRÜCK,28,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Bryan Henning,VFL OSNABRÜCK,17,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Leonhard Münst,VFL OSNABRÜCK,17,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Bernd Riesselmann,VFL OSNABRÜCK,17,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Leon Opitz,VFL OSNABRÜCK,8,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Niklas Sauter,VFL OSNABRÜCK,0,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Joel Abu Hanna,VFL OSNABRÜCK,0,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Theo Janotta,VFL OSNABRÜCK,0,1,1576137
08/08/2026,2. Bundesliga,1. FC HEIDENHEIM,VFL OSNABRÜCK,Luca Raimund,VFL OSNABRÜCK,0,1,1576137
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Marcel Schuhen,SV DARMSTADT 98,90,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Christopher Lannert,SV DARMSTADT 98,85,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Patric Pfeiffer,SV DARMSTADT 98,90,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Aleksandar Vukotić,SV DARMSTADT 98,90,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Florian Kleinhansl,SV DARMSTADT 98,85,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Kai Klefisch,SV DARMSTADT 98,90,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Hiroki Akiyama,SV DARMSTADT 98,90,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Noah Weißhaupt,SV DARMSTADT 98,60,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Lance Duijvestijn,SV DARMSTADT 98,90,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Yosuke Furukawa,SV DARMSTADT 98,68,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Fynn Lakenmacher,SV DARMSTADT 98,60,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Nicolas Verkooijen,SV DARMSTADT 98,30,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Lee Ho-jae,SV DARMSTADT 98,30,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Manolo Merx,SV DARMSTADT 98,22,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Raoul Petretta,SV DARMSTADT 98,11,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Ibrahim El Kadiri,SV DARMSTADT 98,11,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Alexander Brunst,SV DARMSTADT 98,0,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Yannik Lührs,SV DARMSTADT 98,0,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Lars Kehl,SV DARMSTADT 98,0,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Carlo Sickinger,SV DARMSTADT 98,0,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Timon Weiner,HOLSTEIN KIEL,90,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Hiroki Sekine,HOLSTEIN KIEL,90,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Ivan Nekić,HOLSTEIN KIEL,90,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,David Zec,HOLSTEIN KIEL,90,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Leon Parduzi,HOLSTEIN KIEL,84,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Jonas Meffert,HOLSTEIN KIEL,90,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Alexander Bernhardsson,HOLSTEIN KIEL,76,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Guillermo Balzi,HOLSTEIN KIEL,90,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Kasper Davidsen,HOLSTEIN KIEL,89,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Adrián Kaprálik,HOLSTEIN KIEL,76,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Phil Harres,HOLSTEIN KIEL,90,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Jonas Therkelsen,HOLSTEIN KIEL,14,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Faride Alidou,HOLSTEIN KIEL,14,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Marko Ivezić,HOLSTEIN KIEL,12,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Ikem Ugoh,HOLSTEIN KIEL,1,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Lio Rothenhagen,HOLSTEIN KIEL,0,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Tayar Tasdelen,HOLSTEIN KIEL,0,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Till Wiese,HOLSTEIN KIEL,0,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Moritz Reimers,HOLSTEIN KIEL,0,1,1576136
08/08/2026,2. Bundesliga,SV DARMSTADT 98,HOLSTEIN KIEL,Mark Richter Monserrat,HOLSTEIN KIEL,0,1,1576136
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Hans Christian Bernat,KARLSRUHER SC,90,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Sebastian Jung,KARLSRUHER SC,90,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Christoph Kobald,KARLSRUHER SC,90,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Marcel Franke,KARLSRUHER SC,45,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Deniz Ofli,KARLSRUHER SC,65,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Danyal Zor,KARLSRUHER SC,65,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Rafael Pinto Pedrosa,KARLSRUHER SC,78,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Marvin Wanitzek,KARLSRUHER SC,90,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Lilian Egloff,KARLSRUHER SC,45,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Moritz Broschinski,KARLSRUHER SC,90,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Noel Eichinger,KARLSRUHER SC,90,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Paul Scholl,KARLSRUHER SC,45,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Kevin Wiethaup,KARLSRUHER SC,45,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Viktor Bergh,KARLSRUHER SC,25,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Santeri Väänänen,KARLSRUHER SC,25,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Tim Civeja,KARLSRUHER SC,12,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Robin Himmelmann,KARLSRUHER SC,0,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Jason Ponente,KARLSRUHER SC,0,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,John Davis Meyer,KARLSRUHER SC,0,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Louey Ben Farhat,KARLSRUHER SC,0,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Jonas Thomas Kersken,ARMINIA BIELEFELD,90,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Henri Koudossou,ARMINIA BIELEFELD,90,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Maximilian Bauer,ARMINIA BIELEFELD,90,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Maximilian Großer,ARMINIA BIELEFELD,90,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Tim Handwerker,ARMINIA BIELEFELD,64,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Monju Momuluh,ARMINIA BIELEFELD,79,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Sam Schreck,ARMINIA BIELEFELD,45,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Stefano Russo,ARMINIA BIELEFELD,75,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Jannik Rochelt,ARMINIA BIELEFELD,90,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Joel Grodowski,ARMINIA BIELEFELD,90,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Marius Wörl,ARMINIA BIELEFELD,64,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Benjamin Boakye,ARMINIA BIELEFELD,45,1,1576138
08/08/2026,2. Bundesliga,KARLSRUHER SC,ARMINIA BIELEFELD,Arne Sicker,ARMINIA BIELEFELD,26,1,1576138
