Date,League,Season,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,B365H,B365D,B365A,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomePasses,AwayPasses,HomeSaves,AwaySaves,HomePos,AwayPos,HS_1P,AS_1P,HST_1P,AST_1P,HF_1P,AF_1P,HC_1P,AC_1P,HY_1P,AY_1P,HR_1P,AR_1P,HomePasses_1P,AwayPasses_1P,HomePos_1P,AwayPos_1P,HS_2P,AS_2P,HST_2P,AST_2P,HF_2P,AF_2P,HC_2P,AC_2P,HY_2P,AY_2P,HR_2P,AR_2P,HomePasses_2P,AwayPasses_2P,HomePos_2P,AwayPos_2P,fixture_id
04/04/2026,Brasileirao Serie B,2026/2027,LONDRINA,SPORT RECIFE,1,2,1,0,A,0.0,0.0,0.0,13,16,3,4,13,13,5,7,2,0,0,0,281,481,2,2,38,62,13,16,3,4,13,13,5,7,2,0,0,0,281,481,38,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520626
16/05/2026,Chinese Super League,2026/2027,WUHAN THREE TOWNS,SHENYANG URBAN,2,2,2,1,D,0.0,0.0,0.0,13,15,4,6,5,11,3,7,1,1,0,0,229,469,4,2,33,67,13,15,4,6,5,11,3,7,1,1,0,0,229,469,33,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523152
21/03/2026,Brasileirao Serie B,2026/2027,CUIABA,SPORT RECIFE,0,0,0,0,D,0.0,0.0,0.0,13,10,4,1,20,21,0,1,1,2,0,0,361,504,1,4,42,58,13,10,4,1,20,21,0,1,1,2,0,0,361,504,42,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520604
09/08/2026,Serie A Brasil,2026/2027,BAHIA,VASCO DA GAMA,0,0,0,0,D,2.0,3.4,3.8,11,14,2,3,13,10,4,6,1,2,0,0,383,364,3,2,51,49,11,14,2,3,13,10,4,6,1,2,0,0,383,364,51,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492320
08/03/2026,Chinese Super League,2026/2027,HANGZHOU GREENTOWN,QINGDAO YOUTH ISLAND,2,0,2,0,H,0.0,0.0,0.0,13,11,7,1,21,13,5,3,2,3,0,0,503,342,1,6,59,41,13,11,7,1,21,13,5,3,2,3,0,0,503,342,59,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523065
10/05/2026,Chinese Super League,2026/2027,SHENYANG URBAN,YUNNAN YUKUN,1,2,0,1,A,0.0,0.0,0.0,13,12,3,8,13,9,4,4,0,1,0,0,370,422,5,2,48,52,13,12,3,8,13,9,4,4,0,1,0,0,370,422,48,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523142
05/04/2026,Chinese Super League,2026/2027,TIANJIN TEDA,SHANGHAI SHENHUA,2,3,1,1,A,0.0,0.0,0.0,13,19,5,4,9,12,7,9,1,2,0,0,377,389,1,3,49,51,13,19,5,4,9,12,7,9,1,2,0,0,377,389,49,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523090
04/04/2026,Chinese Super League,2026/2027,SHENYANG URBAN,BEIJING GUOAN,2,1,2,0,H,0.0,0.0,0.0,13,11,5,4,17,14,3,1,1,2,0,0,346,470,3,3,42,58,13,11,5,4,17,14,3,1,1,2,0,0,346,470,42,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523084
26/07/2026,Serie A Brasil,2026/2027,BAHIA,CORINTHIANS,1,1,1,1,D,0.0,0.0,0.0,13,5,2,2,17,18,7,2,2,5,0,0,474,323,1,1,60,40,13,5,2,2,17,18,7,2,2,5,0,0,474,323,60,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492301
23/07/2026,Serie A Brasil,2026/2027,CHAPECOENSE-SC,FLAMENGO,0,4,0,2,A,0.0,0.0,0.0,13,10,3,6,9,8,5,3,1,0,0,0,378,683,3,3,36,64,13,10,3,6,9,8,5,3,1,0,0,0,378,683,36,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492292
17/05/2026,Serie A Brasil,2026/2027,SANTOS,CORITIBA,0,3,0,3,A,0.0,0.0,0.0,13,9,3,5,13,15,3,3,4,2,1,0,440,262,2,3,63,37,13,9,3,5,13,15,3,3,4,2,1,0,440,262,63,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492269
23/05/2026,Serie A Brasil,2026/2027,MIRASSOL,FLUMINENSE,1,0,1,0,H,0.0,0.0,0.0,13,10,8,1,12,14,4,5,2,3,0,0,267,553,1,7,32,68,13,10,8,1,12,14,4,5,2,3,0,0,267,553,32,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492275
29/01/2026,Serie A Brasil,2026/2027,MIRASSOL,VASCO DA GAMA,2,1,1,1,H,0.0,0.0,0.0,13,13,4,5,16,10,5,5,2,1,0,0,411,463,4,3,47,53,13,13,4,5,16,10,5,5,2,1,0,0,411,463,47,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492117
25/05/2026,Serie A Brasil,2026/2027,CORITIBA,BAHIA,3,2,0,1,H,0.0,0.0,0.0,13,14,7,1,11,17,3,6,0,3,0,0,336,429,0,4,44,56,13,14,7,1,11,17,3,6,0,3,0,0,336,429,44,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492271
30/05/2026,Serie A Brasil,2026/2027,ATLETICO PARANAENSE,MIRASSOL,1,0,0,0,H,0.0,0.0,0.0,13,10,2,2,11,11,6,4,2,3,0,0,396,405,2,1,50,50,13,10,2,2,11,11,6,4,2,3,0,0,396,405,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492280
07/04/2026,Brasileirao Serie B,2026/2027,GOIAS,CRICIUMA,1,0,0,0,H,0.0,0.0,0.0,13,9,3,1,9,11,6,7,1,0,0,0,460,393,1,2,54,46,13,9,3,1,9,11,6,7,1,0,0,0,460,393,54,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520625
17/05/2026,Serie A Brasil,2026/2027,BOTAFOGO,CORINTHIANS,3,1,2,1,H,0.0,0.0,0.0,13,19,5,1,22,8,3,2,6,1,0,0,255,468,0,2,35,65,13,19,5,1,22,8,3,2,6,1,0,0,255,468,35,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492263
