Date,League,Season,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomePasses,AwayPasses,HomeSaves,AwaySaves,HomePos,AwayPos,fixture_id
02/08/2026,Superliga Dinamarca,2026/2027,FC MIDTJYLLAND,AC HORSENS,2,1,2,0,H,19,4,7,2,11,21,7,3,2,3,0,0,449,321,1,5,58,42,1548981
02/08/2026,Superliga Dinamarca,2026/2027,FC NORDSJAELLAND,RANDERS FC,1,0,0,0,H,18,11,5,4,10,7,11,4,2,2,0,0,711,361,4,4,67,33,1548982
02/08/2026,Superliga Dinamarca,2026/2027,BRONDBY,VIBORG,1,0,0,0,H,23,13,6,3,12,16,8,3,2,3,0,0,468,396,3,4,55,45,1548983
02/08/2026,Superliga Dinamarca,2026/2027,SILKEBORG,FC COPENHAGEN,1,3,1,2,A,13,10,5,6,10,9,7,4,2,2,0,0,456,579,3,4,44,56,1548984
03/08/2026,Superliga Dinamarca,2026/2027,ODENSE,SONDERJYSKE,1,0,0,0,H,17,8,4,3,10,12,7,9,1,1,0,0,499,392,2,3,56,44,1548985
07/08/2026,Superliga Dinamarca,2026/2027,SONDERJYSKE,VIBORG,0,0,0,0,D,9,18,3,4,18,7,4,7,1,0,0,0,312,601,4,3,34,66,1548986
09/08/2026,Superliga Dinamarca,2026/2027,RANDERS FC,LYNGBY,2,0,1,0,H,10,13,3,5,9,16,3,9,0,1,0,0,427,564,4,1,42,58,1548987
09/08/2026,Superliga Dinamarca,2026/2027,AC HORSENS,BRONDBY,0,2,0,1,A,10,9,3,2,17,9,3,6,2,2,0,0,461,421,1,3,52,48,1548988
10/08/2026,Superliga Dinamarca,2026/2027,SILKEBORG,ODENSE,1,0,0,0,H,14,10,4,3,7,17,6,3,1,3,0,0,546,516,3,3,51,49,1548989
14/08/2026,Superliga Dinamarca,2026/2027,VIBORG,AARHUS,2,1,1,1,H,12,22,3,7,15,14,3,10,0,1,0,0,311,601,6,1,34,66,1548990
16/08/2026,Superliga Dinamarca,2026/2027,ODENSE,AC HORSENS,1,2,1,1,A,16,13,1,6,11,11,9,3,1,0,0,0,589,433,4,1,58,42,1548991
16/08/2026,Superliga Dinamarca,2026/2027,FC NORDSJAELLAND,SILKEBORG,1,0,0,0,H,20,4,7,0,10,9,8,1,2,2,0,0,620,519,0,6,55,45,1548992
16/08/2026,Superliga Dinamarca,2026/2027,LYNGBY,FC MIDTJYLLAND,1,1,0,0,D,9,9,2,2,19,18,3,5,2,3,0,0,329,443,1,1,43,57,1548993
16/08/2026,Superliga Dinamarca,2026/2027,RANDERS FC,FC COPENHAGEN,0,4,0,3,A,10,19,0,6,10,11,6,4,1,0,0,0,527,431,2,0,56,44,1548994
17/08/2026,Superliga Dinamarca,2026/2027,BRONDBY,SONDERJYSKE,3,2,3,0,H,18,10,4,5,9,12,10,1,2,4,0,0,589,336,3,1,64,36,1548995
23/08/2026,Superliga Dinamarca,2026/2027,AARHUS,ODENSE,2,2,1,2,D,31,6,5,2,2,14,15,0,0,6,0,0,668,279,0,3,71,29,1548996
23/08/2026,Superliga Dinamarca,2026/2027,SONDERJYSKE,FC NORDSJAELLAND,0,3,0,1,A,10,25,5,9,21,11,6,4,2,2,0,0,399,667,6,4,38,62,1548997
23/08/2026,Superliga Dinamarca,2026/2027,FC MIDTJYLLAND,RANDERS FC,1,0,1,0,H,20,8,6,2,12,26,10,5,1,2,0,0,425,308,2,5,58,42,1548998
23/08/2026,Superliga Dinamarca,2026/2027,AC HORSENS,LYNGBY,2,1,1,0,H,10,17,5,7,21,10,2,9,4,3,0,0,398,535,6,4,42,58,1548999
23/08/2026,Superliga Dinamarca,2026/2027,VIBORG,FC COPENHAGEN,4,0,3,0,H,10,8,5,0,10,17,1,6,0,3,0,0,436,545,0,2,44,56,1549000
24/08/2026,Superliga Dinamarca,2026/2027,BRONDBY,SILKEBORG,3,1,0,1,H,17,13,5,4,15,10,9,5,3,3,0,0,502,402,3,2,56,44,1549001
28/08/2026,Superliga Dinamarca,2026/2027,AC HORSENS,VIBORG,2,3,0,2,A,9,12,5,6,15,13,3,6,3,1,0,0,444,407,4,3,52,48,1549002
30/08/2026,Superliga Dinamarca,2026/2027,LYNGBY,ODENSE,1,1,0,0,D,18,18,1,8,14,17,4,6,4,4,0,0,419,498,7,0,45,55,1549003
30/08/2026,Superliga Dinamarca,2026/2027,SILKEBORG,FC MIDTJYLLAND,1,1,1,0,D,12,15,5,4,10,10,4,7,0,0,0,1,366,468,3,4,43,57,1549004
30/08/2026,Superliga Dinamarca,2026/2027,RANDERS FC,AARHUS,2,1,2,0,H,8,17,5,6,14,15,1,5,3,2,1,0,362,522,5,3,41,59,1549005
30/08/2026,Superliga Dinamarca,2026/2027,FC NORDSJAELLAND,BRONDBY,3,1,2,0,H,15,16,9,4,8,15,4,5,3,1,0,0,405,607,3,5,40,60,1549006
31/08/2026,Superliga Dinamarca,2026/2027,FC COPENHAGEN,SONDERJYSKE,3,1,2,1,H,25,11,8,2,6,10,7,3,1,1,0,1,567,392,1,5,59,41,1549007
02/09/2026,Superliga Dinamarca,2026/2027,AARHUS,FC MIDTJYLLAND,0,2,0,1,A,18,14,3,7,19,20,8,5,2,3,0,0,449,302,5,3,58,42,1549008
03/09/2026,Superliga Dinamarca,2026/2027,FC COPENHAGEN,FC NORDSJAELLAND,2,0,2,0,H,21,10,7,1,14,10,2,0,3,2,0,0,414,611,1,5,41,59,1549009
