Date,League,Season,HomeTeam,AwayTeam,minuto,parte,goleador,asistente,jugador_tarjeta,equipo,tipo,fixture_id
05/02/2026,Serie A Brasil,2026,PALMEIRAS,VITORIA,56,2P,Dudu,Fabricio,,VITORIA,Normal Goal,1492126
05/02/2026,Serie A Brasil,2026,PALMEIRAS,VITORIA,63,2P,Allan Elias,Andreas Pereira,,PALMEIRAS,Normal Goal,1492126
05/02/2026,Serie A Brasil,2026,PALMEIRAS,VITORIA,80,2P,R. Sosa,Andreas Pereira,,PALMEIRAS,Normal Goal,1492126
05/02/2026,Serie A Brasil,2026,GREMIO,BOTAFOGO,17,1P,Arthur Cabral,A. Barboza,,BOTAFOGO,Normal Goal,1492125
05/02/2026,Serie A Brasil,2026,GREMIO,BOTAFOGO,26,1P,Carlos Vinicius,,,GREMIO,Normal Goal,1492125
05/02/2026,Serie A Brasil,2026,GREMIO,BOTAFOGO,36,1P,Danilo,A. Montoro,,BOTAFOGO,Normal Goal,1492125
05/02/2026,Serie A Brasil,2026,GREMIO,BOTAFOGO,50,2P,Carlos Vinicius,F. Amuzu,,GREMIO,Normal Goal,1492125
05/02/2026,Serie A Brasil,2026,GREMIO,BOTAFOGO,57,2P,Carlos Vinicius,,,GREMIO,Penalty,1492125
05/02/2026,Serie A Brasil,2026,GREMIO,BOTAFOGO,60,2P,Tete,F. Amuzu,,GREMIO,Normal Goal,1492125
05/02/2026,Serie A Brasil,2026,GREMIO,BOTAFOGO,79,2P,Edenilson,,,GREMIO,Normal Goal,1492125
05/02/2026,Serie A Brasil,2026,GREMIO,BOTAFOGO,86,2P,Danilo,A. Barboza,,BOTAFOGO,Normal Goal,1492125
05/02/2026,Serie A Brasil,2026,BAHIA,FLUMINENSE,20,1P,John Kennedy,Nonato,,FLUMINENSE,Normal Goal,1492121
05/02/2026,Serie A Brasil,2026,BAHIA,FLUMINENSE,78,2P,C. Olivera,,,BAHIA,Normal Goal,1492121
05/02/2026,Serie A Brasil,2026,VASCO DA GAMA,CHAPECOENSE-SC,55,2P,J. Rodriguez,Andres Gomez,,VASCO DA GAMA,Normal Goal,1492129
05/02/2026,Serie A Brasil,2026,VASCO DA GAMA,CHAPECOENSE-SC,90,2P,Jean Carlos,,,CHAPECOENSE-SC,Normal Goal,1492129
06/02/2026,Serie A Brasil,2026,CRUZEIRO,CORITIBA,19,1P,Matheus Pereira,L. Romero,,CRUZEIRO,Normal Goal,1492123
06/02/2026,Serie A Brasil,2026,CRUZEIRO,CORITIBA,45,1P,J. Lavega,Bruno Melo,,CORITIBA,Normal Goal,1492123
06/02/2026,Serie A Brasil,2026,CRUZEIRO,CORITIBA,53,2P,Breno Lopes,,,CORITIBA,Normal Goal,1492123
11/02/2026,Serie A Brasil,2026,VITORIA,FLAMENGO,15,1P,E. Pulgar,Everton,,FLAMENGO,Normal Goal,1492139
11/02/2026,Serie A Brasil,2026,VITORIA,FLAMENGO,45,1P,Everton,Leo Ortiz,,FLAMENGO,Normal Goal,1492139
11/02/2026,Serie A Brasil,2026,VITORIA,FLAMENGO,51,2P,Matheuzinho,Baralhas,,VITORIA,Normal Goal,1492139
11/02/2026,Serie A Brasil,2026,CHAPECOENSE-SC,CORITIBA,41,1P,Breno Lopes,Lucas Ronier,,CORITIBA,Normal Goal,1492132
11/02/2026,Serie A Brasil,2026,CHAPECOENSE-SC,CORITIBA,45,1P,W. Clar,Everton,,CHAPECOENSE-SC,Normal Goal,1492132
11/02/2026,Serie A Brasil,2026,CHAPECOENSE-SC,CORITIBA,57,2P,Breno Lopes,,,CORITIBA,Normal Goal,1492132
11/02/2026,Serie A Brasil,2026,CHAPECOENSE-SC,CORITIBA,59,2P,Pedro Rocha,Lucas Ronier,,CORITIBA,Normal Goal,1492132
11/02/2026,Serie A Brasil,2026,CHAPECOENSE-SC,CORITIBA,71,2P,Eduardo Doma,Jean Carlos,,CHAPECOENSE-SC,Normal Goal,1492132
11/02/2026,Serie A Brasil,2026,CHAPECOENSE-SC,CORITIBA,90,2P,Rubens Ricoldi,W. Clar,,CHAPECOENSE-SC,Normal Goal,1492132
11/02/2026,Serie A Brasil,2026,MIRASSOL,CRUZEIRO,23,1P,Wanderson,L. Romero,,CRUZEIRO,Normal Goal,1492136
11/02/2026,Serie A Brasil,2026,MIRASSOL,CRUZEIRO,38,1P,Nathan Fogaca,,,MIRASSOL,Normal Goal,1492136
11/02/2026,Serie A Brasil,2026,MIRASSOL,CRUZEIRO,53,2P,Negueba,,,MIRASSOL,Normal Goal,1492136
11/02/2026,Serie A Brasil,2026,MIRASSOL,CRUZEIRO,85,2P,Kaio Jorge,,,CRUZEIRO,Penalty,1492136
11/02/2026,Serie A Brasil,2026,ATLETICO-MG,REMO,22,1P,Hulk,Victor Hugo,,ATLETICO-MG,Normal Goal,1492131
11/02/2026,Serie A Brasil,2026,ATLETICO-MG,REMO,42,1P,Vitor Bueno,,,REMO,Normal Goal,1492131
11/02/2026,Serie A Brasil,2026,ATLETICO-MG,REMO,70,2P,Ruan Tressoldi,Hulk,,ATLETICO-MG,Normal Goal,1492131
11/02/2026,Serie A Brasil,2026,ATLETICO-MG,REMO,87,2P,Yago Pikachu,Patrick de Paula,,REMO,Normal Goal,1492131
11/02/2026,Serie A Brasil,2026,ATLETICO-MG,REMO,90,2P,Alef Manga,Patrick de Paula,,REMO,Normal Goal,1492131
11/02/2026,Serie A Brasil,2026,ATLETICO-MG,REMO,90,2P,Dudu,,,ATLETICO-MG,Normal Goal,1492131
