Date,League,Season,HomeTeam,AwayTeam,minuto,parte,goleador,asistente,jugador_tarjeta,equipo,tipo,fixture_id
21/08/2026,Saudi Pro League,2026/2027,AL-FAISALY FC,NEOM,60,2P,A. Lacazette,H. Camara,,NEOM,Normal Goal,1602984
21/08/2026,Saudi Pro League,2026/2027,AL-QADISIYAH FC,AL-ITTIHAD FC,45,1P,G. Ilenikhena,S. Bergwijn,,AL-ITTIHAD FC,Normal Goal,1602985
22/08/2026,Saudi Pro League,2026/2027,AL-FATEH,AL-ETTIFAQ,78,2P,J. Hendry,A. Medran,,AL-ETTIFAQ,Normal Goal,1602986
22/08/2026,Saudi Pro League,2026/2027,AL KHOLOOD,AL TAAWON,21,1P,E. Utkus,J. Buckley,,AL KHOLOOD,Normal Goal,1602987
22/08/2026,Saudi Pro League,2026/2027,AL KHOLOOD,AL TAAWON,30,1P,I. Kortajarena,,,AL KHOLOOD,Normal Goal,1602987
22/08/2026,Saudi Pro League,2026/2027,AL KHOLOOD,AL TAAWON,40,1P,Shaquille Riley Pinas,,,AL KHOLOOD,Missed Penalty,1602987
22/08/2026,Saudi Pro League,2026/2027,AL KHOLOOD,AL TAAWON,45,1P,S. Pinas,E. Utkus,,AL KHOLOOD,Normal Goal,1602987
22/08/2026,Saudi Pro League,2026/2027,AL KHOLOOD,AL TAAWON,52,2P,A. Hamdallah,Y. El Bahraoui,,AL TAAWON,Normal Goal,1602987
22/08/2026,Saudi Pro League,2026/2027,AL KHOLOOD,AL TAAWON,90,2P,A. Hamdallah,M. Petkov,,AL TAAWON,Normal Goal,1602987
22/08/2026,Saudi Pro League,2026/2027,AL-AHLI JEDDAH,ABHA,5,1P,I. Toney,E. Spertsyan,,AL-AHLI JEDDAH,Normal Goal,1602988
22/08/2026,Saudi Pro League,2026/2027,AL-AHLI JEDDAH,ABHA,13,1P,I. Toney,,,AL-AHLI JEDDAH,Penalty,1602988
22/08/2026,Saudi Pro League,2026/2027,AL-AHLI JEDDAH,ABHA,51,2P,Trincao,,,AL-AHLI JEDDAH,Normal Goal,1602988
22/08/2026,Saudi Pro League,2026/2027,AL-AHLI JEDDAH,ABHA,57,2P,I. Toney,Trincao,,AL-AHLI JEDDAH,Normal Goal,1602988
24/08/2026,Saudi Pro League,2026/2027,NEOM,AL-QADISIYAH FC,29,1P,T. Reijnders,G. Alvarez,,AL-QADISIYAH FC,Normal Goal,1602990
24/08/2026,Saudi Pro League,2026/2027,NEOM,AL-QADISIYAH FC,56,2P,M. Retegui,,,AL-QADISIYAH FC,Penalty,1602990
24/08/2026,Saudi Pro League,2026/2027,AL-ITTIHAD FC,AL-HAZM,18,1P,A. Al Dwehe,A. Pululu,,AL-HAZM,Normal Goal,1602991
24/08/2026,Saudi Pro League,2026/2027,AL-ITTIHAD FC,AL-HAZM,34,1P,S. Bergwijn,H. Aouar,,AL-ITTIHAD FC,Normal Goal,1602991
24/08/2026,Saudi Pro League,2026/2027,AL-ITTIHAD FC,AL-HAZM,41,1P,S. Bergwijn,,,AL-ITTIHAD FC,Penalty,1602991
24/08/2026,Saudi Pro League,2026/2027,AL-ITTIHAD FC,AL-HAZM,59,2P,S. Bendebka,S. Al Rashid,,AL-HAZM,Normal Goal,1602991
24/08/2026,Saudi Pro League,2026/2027,AL-ITTIHAD FC,AL-HAZM,81,2P,S. Bergwijn,,,AL-ITTIHAD FC,Penalty,1602991
25/08/2026,Saudi Pro League,2026/2027,ABHA,AL KHALEEJ SAIHAT,17,1P,J. King,,,AL KHALEEJ SAIHAT,Normal Goal,1602992
25/08/2026,Saudi Pro League,2026/2027,ABHA,AL KHALEEJ SAIHAT,24,1P,K. Al Qahtani,M. Al Dawsari,,ABHA,Normal Goal,1602992
25/08/2026,Saudi Pro League,2026/2027,AL-ETTIFAQ,AL-NASSR,31,1P,O. Duda,,,AL-ETTIFAQ,Normal Goal,1602994
25/08/2026,Saudi Pro League,2026/2027,AL-ETTIFAQ,AL-NASSR,45,1P,A. Medran,Y. Al Shammari,,AL-ETTIFAQ,Normal Goal,1602994
25/08/2026,Saudi Pro League,2026/2027,AL-ETTIFAQ,AL-NASSR,74,2P,S. Mane,Joao Felix,,AL-NASSR,Normal Goal,1602994
25/08/2026,Saudi Pro League,2026/2027,AL-ETTIFAQ,AL-NASSR,77,2P,A. Al Amri,Joao Felix,,AL-NASSR,Normal Goal,1602994
25/08/2026,Saudi Pro League,2026/2027,AL-ETTIFAQ,AL-NASSR,90,2P,S. Mane,S. Al Najei,,AL-NASSR,Normal Goal,1602994
25/08/2026,Saudi Pro League,2026/2027,AL SHABAB,AL RIYADH,32,1P,Trezeguet,L. Antunes,,AL RIYADH,Normal Goal,1602995
25/08/2026,Saudi Pro League,2026/2027,AL SHABAB,AL RIYADH,36,1P,J. Brownhill,,,AL SHABAB,Normal Goal,1602995
25/08/2026,Saudi Pro League,2026/2027,AL SHABAB,AL RIYADH,41,1P,L. Antunes,R. Abascal,,AL RIYADH,Normal Goal,1602995
25/08/2026,Saudi Pro League,2026/2027,AL SHABAB,AL RIYADH,45,1P,Y. Carrasco,Y. Adli,,AL SHABAB,Normal Goal,1602995
