Date,League,Season,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,B365H,B365D,B365A,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomePasses,AwayPasses,HomeSaves,AwaySaves,HomePos,AwayPos,HS_1P,AS_1P,HST_1P,AST_1P,HF_1P,AF_1P,HC_1P,AC_1P,HY_1P,AY_1P,HR_1P,AR_1P,HomePasses_1P,AwayPasses_1P,HomePos_1P,AwayPos_1P,HS_2P,AS_2P,HST_2P,AST_2P,HF_2P,AF_2P,HC_2P,AC_2P,HY_2P,AY_2P,HR_2P,AR_2P,HomePasses_2P,AwayPasses_2P,HomePos_2P,AwayPos_2P,fixture_id
05/02/2026,Serie A Brasil,2026,VASCO DA GAMA,CHAPECOENSE-SC,1,1,0,0,D,0.0,0.0,0.0,30,7,13,1,15,11,14,0,0,0,0,0,572,289,0,10,67,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492129
06/02/2026,Serie A Brasil,2026,CRUZEIRO,CORITIBA,1,2,1,1,A,0.0,0.0,0.0,19,10,4,2,9,17,12,2,3,2,0,0,551,270,0,3,68,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492123
11/02/2026,Serie A Brasil,2026,VITORIA,FLAMENGO,1,2,0,2,A,0.0,0.0,0.0,10,6,3,2,12,21,7,2,3,4,0,0,330,438,0,2,44,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492139
11/02/2026,Serie A Brasil,2026,CHAPECOENSE-SC,CORITIBA,3,3,1,1,D,0.0,0.0,0.0,21,13,8,5,4,8,6,5,2,1,0,0,436,424,2,5,51,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492132
11/02/2026,Serie A Brasil,2026,MIRASSOL,CRUZEIRO,2,2,1,1,D,0.0,0.0,0.0,18,9,10,4,12,10,9,0,4,2,1,0,394,324,2,9,56,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492136
11/02/2026,Serie A Brasil,2026,ATLETICO-MG,REMO,3,3,1,1,D,0.0,0.0,0.0,18,18,8,6,10,14,6,5,0,2,0,0,483,330,3,5,59,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492131
12/02/2026,Serie A Brasil,2026,SAO PAULO,GREMIO,2,0,1,0,H,0.0,0.0,0.0,18,5,4,1,11,16,3,3,2,4,0,1,516,381,1,2,58,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492137
12/02/2026,Serie A Brasil,2026,VASCO DA GAMA,BAHIA,0,1,0,1,A,0.0,0.0,0.0,26,8,4,3,15,14,8,4,5,5,0,0,466,302,2,4,62,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492138
12/02/2026,Serie A Brasil,2026,ATLETICO PARANAENSE,SANTOS,2,1,1,1,H,0.0,0.0,0.0,12,10,5,5,15,15,8,2,1,3,0,0,399,307,4,3,57,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492130
12/02/2026,Serie A Brasil,2026,FLUMINENSE,BOTAFOGO,1,0,0,0,H,0.0,0.0,0.0,10,5,5,3,18,11,4,0,5,3,1,0,332,351,3,4,49,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492134
12/02/2026,Serie A Brasil,2026,CORINTHIANS,RB BRAGANTINO,2,0,0,0,H,0.0,0.0,0.0,13,9,5,4,17,24,3,3,4,4,0,0,458,292,4,3,61,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492133
13/02/2026,Serie A Brasil,2026,INTERNACIONAL,PALMEIRAS,1,3,1,1,A,0.0,0.0,0.0,26,11,4,7,13,8,16,4,1,1,0,0,473,302,4,3,62,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492135
19/02/2026,Serie A Brasil,2026,ATLETICO PARANAENSE,CORINTHIANS,0,1,0,1,A,0.0,0.0,0.0,19,4,5,1,15,10,8,0,3,4,0,0,438,355,0,4,56,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492120
25/02/2026,Serie A Brasil,2026,RB BRAGANTINO,ATLETICO PARANAENSE,1,1,1,0,D,0.0,0.0,0.0,7,18,3,6,18,16,2,7,5,2,2,0,249,381,5,2,39,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492142
25/02/2026,Serie A Brasil,2026,REMO,INTERNACIONAL,1,1,1,1,D,0.0,0.0,0.0,12,18,7,4,16,14,8,12,5,1,0,0,320,459,3,5,42,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492148
25/02/2026,Serie A Brasil,2026,CORITIBA,SAO PAULO,0,1,0,0,A,0.0,0.0,0.0,18,9,2,5,5,19,3,7,4,3,0,0,344,493,5,2,42,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492143
25/02/2026,Serie A Brasil,2026,CRUZEIRO,CORINTHIANS,1,1,1,0,D,0.0,0.0,0.0,11,4,3,2,15,14,5,3,3,3,1,0,356,385,1,2,48,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492144
26/02/2026,Serie A Brasil,2026,PALMEIRAS,FLUMINENSE,2,1,2,1,H,0.0,0.0,0.0,13,18,6,7,16,16,5,11,3,4,0,0,311,577,6,5,35,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492147
